iter	Passed	Remaining
0	2	2067
1	3	1896
2	5	1808
3	6	1679
4	8	1660
5	10	1754
6	12	1792
7	14	1766
8	15	1749
9	17	1718
10	18	1701
11	20	1725
12	23	1762
13	24	1752
14	26	1764
15	28	1745
16	29	1727
17	31	1703
18	33	1703
19	34	1691
20	36	1680
21	37	1664
22	38	1651
23	40	1651
24	42	1650
25	44	1657
26	45	1651
27	47	1658
28	50	1675
29	51	1667
30	53	1661
31	54	1658
32	56	1653
33	58	1653
34	60	1666
35	62	1669
36	63	1659
37	65	1650
38	66	1641
39	68	1632
40	69	1623
41	70	1617
42	72	1608
43	73	1606
44	78	1656
45	79	1652
46	81	1648
47	82	1640
48	84	1634
49	85	1628
50	87	1623
51	88	1617
52	90	1620
53	92	1625
54	94	1627
55	96	1621
56	97	1619
57	99	1615
58	101	1621
59	102	1613
60	104	1606
61	105	1598
62	107	1595
63	108	1589
64	110	1583
65	111	1581
66	113	1574
67	114	1570
68	116	1566
69	117	1560
70	118	1555
71	120	1550
72	122	1550
73	123	1544
74	124	1540
75	126	1536
76	127	1531
77	129	1526
78	130	1522
79	132	1518
80	133	1512
81	134	1508
82	136	1505
83	137	1500
84	139	1498
85	140	1494
86	141	1489
87	143	1484
88	144	1480
89	146	1477
90	147	1472
91	149	1471
92	150	1467
93	152	1467
94	153	1464
95	155	1461
96	156	1456
97	157	1451
98	159	1448
99	160	1443
100	161	1440
101	163	1437
102	164	1434
103	166	1436
104	168	1434
105	169	1431
106	171	1428
107	172	1425
108	173	1421
109	175	1418
110	176	1414
111	178	1411
112	179	1411
113	181	1408
114	182	1406
115	184	1405
116	186	1403
117	187	1400
118	189	1399
119	190	1396
120	191	1393
121	193	1391
122	194	1388
123	196	1390
124	198	1387
125	199	1387
126	201	1386
127	203	1385
128	204	1383
129	206	1379
130	207	1377
131	209	1374
132	210	1371
133	211	1368
134	213	1365
135	214	1362
136	215	1359
137	217	1358
138	218	1355
139	220	1353
140	221	1351
141	223	1350
142	224	1347
143	226	1345
144	227	1343
145	229	1339
146	230	1337
147	231	1334
148	233	1331
149	234	1329
150	235	1326
151	238	1328
152	239	1326
153	241	1327
154	243	1327
155	244	1324
156	246	1322
157	247	1319
158	249	1318
159	250	1316
160	252	1315
161	254	1314
162	255	1313
163	257	1311
164	258	1310
165	260	1307
166	261	1305
167	263	1302
168	264	1301
169	266	1299
170	267	1297
171	269	1295
172	270	1293
173	272	1294
174	274	1293
175	275	1291
176	277	1289
177	279	1288
178	280	1288
179	282	1288
180	284	1289
181	286	1287
182	288	1286
183	289	1285
184	292	1286
185	293	1284
186	295	1282
187	296	1280
188	298	1279
189	299	1278
190	301	1275
191	303	1277
192	304	1275
193	306	1272
194	307	1271
195	309	1268
196	310	1266
197	312	1264
198	313	1261
199	314	1258
200	316	1256
201	317	1255
202	319	1252
203	320	1249
204	321	1247
205	323	1245
206	324	1243
207	326	1241
208	327	1240
209	329	1239
210	331	1238
211	333	1237
212	334	1236
213	336	1235
214	337	1233
215	339	1233
216	341	1231
217	343	1231
218	344	1229
219	346	1229
220	348	1227
221	349	1226
222	351	1224
223	352	1221
224	354	1219
225	355	1218
226	357	1216
227	359	1217
228	361	1217
229	363	1215
230	364	1214
231	366	1212
232	367	1210
233	369	1208
234	370	1206
235	372	1204
236	373	1203
237	375	1202
238	377	1202
239	379	1202
240	381	1200
241	382	1198
242	384	1197
243	385	1195
244	386	1192
245	388	1191
246	390	1190
247	392	1189
248	394	1188
249	395	1186
250	396	1184
251	398	1183
252	399	1180
253	401	1178
254	402	1176
255	404	1175
256	406	1173
257	407	1173
258	409	1172
259	412	1173
260	413	1172
261	415	1170
262	417	1169
263	418	1168
264	420	1167
265	423	1168
266	425	1167
267	427	1167
268	429	1166
269	430	1163
270	433	1165
271	435	1165
272	436	1163
273	438	1161
274	440	1160
275	442	1159
276	443	1157
277	445	1156
278	446	1154
279	448	1152
280	449	1151
281	451	1148
282	452	1147
283	454	1145
284	455	1143
285	457	1141
286	459	1140
287	460	1138
288	462	1136
289	463	1134
290	465	1133
291	466	1132
292	468	1130
293	470	1128
294	471	1126
295	472	1124
296	474	1122
297	475	1120
298	477	1118
299	478	1117
300	480	1115
301	482	1114
302	483	1112
303	484	1110
304	487	1109
305	488	1108
306	490	1106
307	491	1105
308	493	1104
309	495	1102
310	497	1101
311	498	1099
312	500	1098
313	501	1096
314	503	1094
315	504	1092
316	506	1090
317	507	1088
318	508	1086
319	510	1084
320	511	1082
321	513	1080
322	514	1078
323	515	1076
324	517	1075
325	519	1073
326	520	1071
327	521	1069
328	523	1067
329	524	1065
330	526	1063
331	527	1061
332	529	1060
333	530	1058
334	532	1056
335	533	1054
336	535	1052
337	536	1050
338	537	1048
339	539	1046
340	540	1045
341	542	1043
342	543	1040
343	545	1039
344	546	1038
345	549	1037
346	551	1037
347	552	1035
348	554	1033
349	555	1032
350	557	1030
351	558	1028
352	559	1026
353	561	1024
354	562	1022
